player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Nate Wolters,MIL,PG,3000.00,@ MIA,4,5.63,10.25,0,1.26,9.99,0.5,0,0,0
Rudy Gobert,UTA,C,0,N/A,11,14.61,27.25,4.75,8.76,20.47,0,0,0,0
Gorgui Dieng,MIN,C,0,N/A,9,20.89,34,12.25,14.96,26.82,0,0,0,0
Reggie Bullock,LAC,SG,0,N/A,4,8.25,17.5,0,2.04,14.46,0,0,0,0
Moe Harkless,ORL,SF,0,N/A,7,9.43,19.75,0,1.59,17.27,0,0,0,0
Jeff Withey,NOP,C,0,N/A,4,1.63,3.25,0,0.45,2.8,0,0,0,0
Allen Crabbe,POR,SG,0,N/A,6,7.5,16.5,0,1.34,13.66,0,0,0,0
Brandon Rush,GSW,SG,3000.00,@ LAL,3,2.25,3.75,0,0.63,3.87,0,0,0,0
Shane Larkin,NYK,PG,4000.00,vs. DEN,10,15.68,28,6.5,9.27,22.08,0.6,0.4,0.3,0.1
Trey Burke,UTA,PG,0,N/A,11,23.91,38.25,17,17.47,30.35,0,0,0,0
Otto Porter,WAS,SF,0,N/A,9,16.97,32.75,3,8.06,25.88,0,0,0,0
Alexis Ajinca,NOP,C,0,N/A,6,5.96,10.75,1.5,2.75,9.17,0,0,0,0
C.J. McCollum,POR,SG,0,N/A,8,11.25,23.5,3.5,4.18,18.32,0,0,0,0
Nene Hilario,WAS,C,0,N/A,8,25.81,41,13,16.97,34.66,0,0,0,0
Mike Muscala,ATL,PF,0,N/A,3,11.5,26,0,0.68,22.32,0,0,0,0
Troy Daniels,HOU,PG,3000.00,@ OKC,6,4.21,11.25,1,0.83,7.58,0.17,0,0,0
James Young,BOS,SG,0,N/A,3,4.25,9.25,0,0.44,8.06,0,0,0,0
Dwight Powell,BOS,PF,0,N/A,1,0,0,0,0,0,0,0,0,0
Marcus Smart,BOS,PG,0,N/A,6,12.54,24,0,3.25,21.84,0,0,0,0
Jerome Jordan,BKN,C,0,N/A,6,5.79,13.75,1,1.03,10.56,0,0,0,0
Cory Jefferson,BKN,PF,0,N/A,2,5.88,10.5,1.25,1.25,10.5,0,0,0,0
Bojan Bogdanovic,BKN,SG,0,N/A,9,15.64,35.5,2.5,6.54,24.74,0,0,0,0
Cleanthony Early,NYK,SF,3000.00,vs. DEN,6,6.46,20.75,1.5,-0.02,12.94,0.17,0.17,0.17,0.17
Amar'e Stoudemire,NYK,PF,5000.00,vs. DEN,9,24.58,33.5,11.75,17.36,31.81,0.89,0.67,0.67,0.33
Travis Wear,NYK,PF,3000.00,vs. DEN,7,3.64,12,0,-0.35,7.64,0.14,0.14,0,0
Nerlens Noel,PHI,C,0,N/A,7,22.18,39,11.5,13.06,31.3,0,0,0,0
JaKarr Sampson,PHI,SF,0,N/A,7,8.21,16.25,1.5,2.97,13.45,0,0,0,0
K.J. McDaniels,PHI,SF,0,N/A,9,17.56,24.25,9.5,12.93,22.18,0,0,0,0
E'Twaun Moore,CHI,PG,0,N/A,2,0.63,1.25,0,0,1.25,0,0,0,0
Doug McDermott,CHI,SF,0,N/A,9,8.14,23.75,0.25,1.19,15.09,0,0,0,0
Nikola Mirotic,CHI,PF,0,N/A,9,9.69,26,0,0.29,19.1,0,0,0,0
Cameron Bairstow,CHI,C,0,N/A,1,0,0,0,0,0,0,0,0,0
Alex Kirk,PHI,C,0,N/A,1,3.5,3.5,3.5,3.5,3.5,0,0,0,0
Joe Harris,CLE,SG,0,N/A,5,9.95,25.5,3.25,1.94,17.96,0,0,0,0
Spencer Dinwiddie,DET,PG,0,N/A,1,1.5,1.5,1.5,1.5,1.5,0,0,0,0
Shayne Whittington,IND,PF,0,N/A,2,10,11.25,8.75,8.75,11.25,0,0,0,0
Damjan Rudez,IND,SF,0,N/A,10,8.35,13.5,3.5,5.01,11.69,0,0,0,0
Johnny O'Bryant,MIL,PF,3000.00,@ MIA,1,0,0,0,0,0,0,0,0,0
Damien Inglis,MIL,SF,3000.00,@ MIA,1,0,0,0,0,0,0,0,0,0
Jabari Parker,MIL,SF,4500.00,@ MIA,9,21,29.75,13.75,15.2,26.8,1,0.56,0.44,0.22
Adreian Payne,ATL,PF,0,N/A,1,0,0,0,0,0,0,0,0,0
